p1,p2,g1_ratio,policy,avg_cost
0.1,0.9,26,epsilon-exact-nodupe,275.8666666666667
0.1,0.9,27,random,279.2
0.1,0.9,27,coupcoll-nodupe,269.3
0.1,0.9,27,ratiocoll-nodupe,261.06666666666666
0.1,0.9,27,epsilon-exact-nodupe,270.8666666666667
0.1,0.9,28,random,255.0
0.1,0.9,28,coupcoll-nodupe,271.56666666666666
0.1,0.9,28,ratiocoll-nodupe,300.8
0.1,0.9,28,epsilon-exact-nodupe,280.0
0.1,0.9,29,random,303.2
0.1,0.9,29,coupcoll-nodupe,305.03333333333336
0.1,0.9,29,ratiocoll-nodupe,277.93333333333334
0.1,0.9,29,epsilon-exact-nodupe,285.8
0.1,0.9,30,random,290.56666666666666
0.1,0.9,30,coupcoll-nodupe,299.5
0.1,0.9,30,ratiocoll-nodupe,309.23333333333335
0.1,0.9,30,epsilon-exact-nodupe,289.8333333333333
0.1,0.9,31,random,310.76666666666665
0.1,0.9,31,coupcoll-nodupe,314.8666666666667
0.1,0.9,31,ratiocoll-nodupe,308.4
0.1,0.9,31,epsilon-exact-nodupe,315.5
0.1,0.9,32,random,319.9
0.1,0.9,32,coupcoll-nodupe,328.1333333333333
0.1,0.9,32,ratiocoll-nodupe,312.1
0.1,0.9,32,epsilon-exact-nodupe,331.8666666666667
0.1,0.9,33,random,336.43333333333334
0.1,0.9,33,coupcoll-nodupe,320.3666666666667
0.1,0.9,33,ratiocoll-nodupe,339.06666666666666
0.1,0.9,33,epsilon-exact-nodupe,322.4
0.1,0.9,34,random,352.8
0.1,0.9,34,coupcoll-nodupe,334.5
0.1,0.9,34,ratiocoll-nodupe,342.6666666666667
0.1,0.9,34,epsilon-exact-nodupe,333.9
0.1,0.9,35,random,357.93333333333334
0.1,0.9,35,coupcoll-nodupe,317.3666666666667
0.1,0.9,35,ratiocoll-nodupe,344.3
0.1,0.9,35,epsilon-exact-nodupe,363.4
0.1,0.9,36,random,352.6
0.1,0.9,36,coupcoll-nodupe,368.6666666666667
0.1,0.9,36,ratiocoll-nodupe,360.06666666666666
0.1,0.9,36,epsilon-exact-nodupe,358.93333333333334
0.1,0.9,37,random,367.9
0.1,0.9,37,coupcoll-nodupe,380.4
0.1,0.9,37,ratiocoll-nodupe,370.7
0.1,0.9,37,epsilon-exact-nodupe,363.1666666666667
0.1,0.9,38,random,385.8666666666667
0.1,0.9,38,coupcoll-nodupe,382.8
0.1,0.9,38,ratiocoll-nodupe,396.8666666666667
0.1,0.9,38,epsilon-exact-nodupe,380.76666666666665
0.1,0.9,39,random,391.2
0.1,0.9,39,coupcoll-nodupe,376.56666666666666
0.1,0.9,39,ratiocoll-nodupe,391.26666666666665
0.1,0.9,39,epsilon-exact-nodupe,393.3333333333333
0.1,0.9,40,random,403.3333333333333
0.1,0.9,40,coupcoll-nodupe,405.6
0.1,0.9,40,ratiocoll-nodupe,394.43333333333334
0.1,0.9,40,epsilon-exact-nodupe,393.1666666666667
0.1,0.9,41,random,410.3666666666667
0.1,0.9,41,coupcoll-nodupe,444.7
0.1,0.9,41,ratiocoll-nodupe,443.8
0.1,0.9,41,epsilon-exact-nodupe,418.5
0.1,0.9,42,random,426.93333333333334
0.1,0.9,42,coupcoll-nodupe,416.0
0.1,0.9,42,ratiocoll-nodupe,415.73333333333335
0.1,0.9,42,epsilon-exact-nodupe,443.93333333333334
0.1,0.9,43,random,437.1333333333333
0.1,0.9,43,coupcoll-nodupe,426.53333333333336
0.1,0.9,43,ratiocoll-nodupe,440.9
0.1,0.9,43,epsilon-exact-nodupe,423.76666666666665
0.1,0.9,44,random,429.06666666666666
0.1,0.9,44,coupcoll-nodupe,460.8333333333333
0.1,0.9,44,ratiocoll-nodupe,434.73333333333335
0.1,0.9,44,epsilon-exact-nodupe,467.9
0.1,0.9,45,random,444.03333333333336
0.1,0.9,45,coupcoll-nodupe,444.6
0.1,0.9,45,ratiocoll-nodupe,447.4
0.1,0.9,45,epsilon-exact-nodupe,429.1333333333333
0.1,0.9,46,random,466.9
0.1,0.9,46,coupcoll-nodupe,458.2
0.1,0.9,46,ratiocoll-nodupe,456.6
0.1,0.9,46,epsilon-exact-nodupe,458.96666666666664
0.1,0.9,47,random,469.93333333333334
0.1,0.9,47,coupcoll-nodupe,463.3
0.1,0.9,47,ratiocoll-nodupe,471.7
0.1,0.9,47,epsilon-exact-nodupe,487.0
0.1,0.9,48,random,475.8
0.1,0.9,48,coupcoll-nodupe,472.7
0.1,0.9,48,ratiocoll-nodupe,487.3333333333333
0.1,0.9,48,epsilon-exact-nodupe,477.46666666666664
0.1,0.9,49,random,495.7
0.1,0.9,49,coupcoll-nodupe,480.8
0.1,0.9,49,ratiocoll-nodupe,474.1
0.1,0.9,49,epsilon-exact-nodupe,498.9
0.1,0.9,50,random,508.3333333333333
0.1,0.9,50,coupcoll-nodupe,499.23333333333335
0.1,0.9,50,ratiocoll-nodupe,511.8
0.1,0.9,50,epsilon-exact-nodupe,518.2333333333333
0.1,0.9,51,random,508.76666666666665
0.1,0.9,51,coupcoll-nodupe,517.0333333333333
0.1,0.9,51,ratiocoll-nodupe,524.5
0.1,0.9,51,epsilon-exact-nodupe,519.1666666666666
0.1,0.9,52,random,520.5
0.1,0.9,52,coupcoll-nodupe,522.0
0.1,0.9,52,ratiocoll-nodupe,547.6
0.1,0.9,52,epsilon-exact-nodupe,514.3666666666667
0.1,0.9,53,random,528.0666666666667
0.1,0.9,53,coupcoll-nodupe,531.2666666666667
0.1,0.9,53,ratiocoll-nodupe,543.1
0.1,0.9,53,epsilon-exact-nodupe,526.9333333333333
