# Initial round: n is fixed at 10, and m is changed from 2 to 10
n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,8,True,skewed,ucb,1526.0082477420585,28193.42
10,8,False,uniform,random,19992.34,19992.34
10,8,False,uniform,coupcoll-nodupe,15784.76,15784.76
10,8,False,uniform,ratiocoll-nodupe,13794.22,13794.22
10,8,False,uniform,epsilon-exact-nodupe,14027.03,14027.03
10,8,False,uniform,ucb,17452.86,17452.86
10,8,False,random,random,19636.984146852476,20249.74
10,8,False,random,coupcoll-nodupe,4839.12532563222,24414.77
10,8,False,random,ratiocoll-nodupe,5238.1574457259685,32685.3
10,8,False,random,epsilon-exact-nodupe,7348.138560143198,21495.83
10,8,False,random,ucb,5807.2261304806325,26568.36
10,8,False,skewed,random,20070.279670972748,20833.36
10,8,False,skewed,coupcoll-nodupe,1544.4523431165132,26753.68
10,8,False,skewed,ratiocoll-nodupe,1512.9120674133842,26954.35
10,8,False,skewed,epsilon-exact-nodupe,3615.9590050815577,21180.91
10,8,False,skewed,ucb,1830.3515667805968,24868.03
10,10,True,uniform,random,13725.85,13725.85
10,10,True,uniform,coupcoll-nodupe,14811.26,14811.26
10,10,True,uniform,ratiocoll-nodupe,11909.98,11909.98
10,10,True,uniform,epsilon-exact-nodupe,12024.24,12024.24
10,10,True,uniform,ucb,13815.74,13815.74
10,10,True,random,random,13370.890674557977,13878.71
10,10,True,random,coupcoll-nodupe,6005.301319114855,25448.84
10,10,True,random,ratiocoll-nodupe,5063.295980238384,28725.15
10,10,True,random,epsilon-exact-nodupe,6432.499053543667,16630.64
10,10,True,random,ucb,5592.019430493798,25624.42
10,10,True,skewed,random,13363.688804029955,13824.89
10,10,True,skewed,coupcoll-nodupe,1580.1248615820646,22837.66
10,10,True,skewed,ratiocoll-nodupe,1406.0742193178733,29374.57
10,10,True,skewed,epsilon-exact-nodupe,3445.3972547084763,16731.36
10,10,True,skewed,ucb,1590.6151991788693,33302.99
10,10,False,uniform,random,21374.01,21374.01
10,10,False,uniform,coupcoll-nodupe,16710.44,16710.44
10,10,False,uniform,ratiocoll-nodupe,14384.68,14384.68
10,10,False,uniform,epsilon-exact-nodupe,14651.42,14651.42
10,10,False,uniform,ucb,17519.61,17519.61
10,10,False,random,random,21171.27908259948,20742.68
10,10,False,random,coupcoll-nodupe,5443.040559945876,31952.13
10,10,False,random,ratiocoll-nodupe,4879.049355233301,37480.0
10,10,False,random,epsilon-exact-nodupe,7453.56467684732,19991.09
10,10,False,random,ucb,6395.205430676415,34718.72
10,10,False,skewed,random,19286.622184999855,21378.03
10,10,False,skewed,coupcoll-nodupe,1706.2055427509538,35502.01
10,10,False,skewed,ratiocoll-nodupe,1566.588315922958,27996.46
10,10,False,skewed,epsilon-exact-nodupe,3780.049656793858,20726.44
10,10,False,skewed,ucb,2404.401868538411,27088.79
