# n fixed at 10, m changing from 10 to 50
n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,40,False,uniform,EpsilonGreedy,16607.1,16607.1
10,40,False,uniform,UCB,19547.733333333334,19547.733333333334
10,40,False,random,random,21843.770922735468,21363.533333333333
10,40,False,random,CoupColl,7863.603548166784,40621.13333333333
10,40,False,random,RatioColl,7856.048195162321,28582.433333333334
10,40,False,random,EpsilonGreedy,11997.613769940199,21644.0
10,40,False,random,UCB,9805.871759655087,32486.666666666668
10,40,False,skewed,random,18015.230517941534,20298.966666666667
10,40,False,skewed,CoupColl,2620.263521039901,36755.933333333334
10,40,False,skewed,RatioColl,2680.217559291984,187702.3
10,40,False,skewed,EpsilonGreedy,6150.8585960126675,22360.633333333335
10,40,False,skewed,UCB,4070.9145821738784,46791.933333333334
10,50,True,uniform,random,16584.3,16584.3
10,50,True,uniform,CoupColl,20236.966666666667,20236.966666666667
10,50,True,uniform,RatioColl,14832.8,14832.8
10,50,True,uniform,EpsilonGreedy,15543.8,15543.8
10,50,True,uniform,UCB,15914.8,15914.8
10,50,True,random,random,18211.59282306192,18247.733333333334
10,50,True,random,CoupColl,8970.25009986225,54513.9
10,50,True,random,RatioColl,7056.232904006543,31549.966666666667
10,50,True,random,EpsilonGreedy,10633.028721489327,18367.9
10,50,True,random,UCB,10215.181019240876,35454.13333333333
10,50,True,skewed,random,20457.607532398637,17089.0
10,50,True,skewed,CoupColl,2431.4795399150885,50705.0
10,50,True,skewed,RatioColl,2324.9978985167463,49607.26666666667
10,50,True,skewed,EpsilonGreedy,6348.661966574445,19696.766666666666
10,50,True,skewed,UCB,3889.4770814662143,38707.833333333336
10,50,False,uniform,random,20318.666666666668,20318.666666666668
10,50,False,uniform,CoupColl,21992.233333333334,21992.233333333334
10,50,False,uniform,RatioColl,17042.866666666665,17042.866666666665
10,50,False,uniform,EpsilonGreedy,17828.133333333335,17828.133333333335
10,50,False,uniform,UCB,18841.933333333334,18841.933333333334
10,50,False,random,random,22814.191697058843,22045.133333333335
10,50,False,random,CoupColl,10514.081655955237,34307.7
10,50,False,random,RatioColl,6365.552807841249,50519.166666666664
10,50,False,random,EpsilonGreedy,12466.930161237597,21496.266666666666
10,50,False,random,UCB,9157.74514795632,35860.96666666667
10,50,False,skewed,random,18571.88896808987,20482.5
10,50,False,skewed,CoupColl,3343.0851044742067,46425.73333333333
10,50,False,skewed,RatioColl,1883.6413123402497,35522.066666666666
10,50,False,skewed,EpsilonGreedy,7080.884277773106,20817.966666666667
10,50,False,skewed,UCB,4643.067961545917,52515.833333333336
