n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
2,10,True,uniform,Random,19227.866666666665,19227.866666666665
2,10,True,uniform,CoupColl,19853.3,19853.3
2,10,True,uniform,RatioColl,15433.733333333334,15433.733333333334
2,10,True,uniform,EpsilonGreedy,15421.866666666667,15421.866666666667
2,10,True,uniform,UCB,15506.666666666666,15506.666666666666
2,10,True,random,Random,18218.654536263384,17231.366666666665
2,10,True,random,CoupColl,8014.856060690693,15227.066666666668
2,10,True,random,RatioColl,8080.6856359639105,15352.133333333333
2,10,True,random,EpsilonGreedy,8880.431365551502,14675.766666666666
2,10,True,random,UCB,8184.48953242383,15309.266666666666
2,10,True,skewed,Random,12555.270754828247,17670.666666666668
2,10,True,skewed,CoupColl,9468.27810574584,21532.8
2,10,True,skewed,RatioColl,9533.06266577726,21680.133333333335
2,10,True,skewed,EpsilonGreedy,10187.951174846097,16629.466666666667
2,10,True,skewed,UCB,9744.075013261772,18429.433333333334
2,10,False,uniform,Random,18327.233333333334,18327.233333333334
2,10,False,uniform,CoupColl,15563.166666666666,15563.166666666666
2,10,False,uniform,RatioColl,15060.133333333333,15060.133333333333
2,10,False,uniform,EpsilonGreedy,15080.666666666666,15080.666666666666
2,10,False,uniform,UCB,15423.1,15423.1
2,10,False,random,Random,27665.1000359666,23658.333333333332
2,10,False,random,CoupColl,27719.21471597728,20160.466666666667
2,10,False,random,RatioColl,26019.155655007657,19278.266666666666
2,10,False,random,EpsilonGreedy,25868.77205186115,19222.6
2,10,False,random,UCB,27136.48923767983,22356.7
2,10,False,skewed,Random,14890.837414396392,19812.7
2,10,False,skewed,CoupColl,11.927958268285995,30904.966666666667
2,10,False,skewed,RatioColl,11.80836335952588,30595.1
2,10,False,skewed,EpsilonGreedy,2240.9623956523546,27528.4
2,10,False,skewed,UCB,41.87671631968977,30646.966666666667
4,10,True,uniform,Random,15475.966666666667,15475.966666666667
4,10,True,uniform,CoupColl,19604.966666666667,19604.966666666667
4,10,True,uniform,RatioColl,17165.033333333333,17165.033333333333
4,10,True,uniform,EpsilonGreedy,15439.2,15439.2
4,10,True,uniform,UCB,14491.533333333333,14491.533333333333
4,10,True,random,Random,23630.993679692805,15876.033333333333
4,10,True,random,CoupColl,21268.85714317706,15885.466666666667
4,10,True,random,RatioColl,20916.03378965708,15697.3
4,10,True,random,EpsilonGreedy,20451.94757986265,14634.5
4,10,True,random,UCB,24666.254822593997,19179.366666666665
4,10,True,skewed,Random,21796.173140108796,15724.666666666666
4,10,True,skewed,CoupColl,6395.029846608114,21666.133333333335
4,10,True,skewed,RatioColl,5135.984540525768,21138.833333333332
4,10,True,skewed,EpsilonGreedy,7565.06648650109,20144.766666666666
4,10,True,skewed,UCB,5446.143200539216,24038.566666666666
4,10,False,uniform,Random,22139.366666666665,22139.366666666665
4,10,False,uniform,CoupColl,11276.966666666667,11276.966666666667
4,10,False,uniform,RatioColl,11364.4,11364.4
4,10,False,uniform,EpsilonGreedy,11901.9,11901.9
4,10,False,uniform,UCB,16929.466666666667,16929.466666666667
4,10,False,random,Random,19468.428740024494,20754.133333333335
4,10,False,random,CoupColl,7329.732955655885,30037.7
