n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,30,False,random,RatioColl,3668.0037107464204,31073.133333333335
10,30,False,random,EpsilonGreedy,8104.461527938146,22017.566666666666
10,30,False,random,UCB,4727.573368051758,28778.566666666666
10,30,False,skewed,Random,26402.34976559749,20875.966666666667
10,30,False,skewed,CoupColl,2136.3682344602516,31300.166666666668
10,30,False,skewed,RatioColl,1793.0343005172615,26542.766666666666
10,30,False,skewed,EpsilonGreedy,6428.726317462164,24116.366666666665
10,30,False,skewed,UCB,3036.324638295839,25835.233333333334
10,40,True,uniform,Random,13560.033333333333,13560.033333333333
10,40,True,uniform,CoupColl,16523.8,16523.8
10,40,True,uniform,RatioColl,13216.966666666667,13216.966666666667
10,40,True,uniform,EpsilonGreedy,13708.366666666667,13708.366666666667
10,40,True,uniform,UCB,12735.766666666666,12735.766666666666
10,40,True,random,Random,16809.07828313362,16354.0
10,40,True,random,CoupColl,1231.6411801877778,38139.066666666666
10,40,True,random,RatioColl,1150.057320101607,35601.1
10,40,True,random,EpsilonGreedy,9352.33202465952,20817.066666666666
10,40,True,random,UCB,2402.944858162642,34108.73333333333
10,40,True,skewed,Random,8653.695682499429,13983.033333333333
10,40,True,skewed,CoupColl,2556.702458166145,23173.066666666666
10,40,True,skewed,RatioColl,1848.0679491551098,16760.0
10,40,True,skewed,EpsilonGreedy,3949.0007749281303,15635.833333333334
10,40,True,skewed,UCB,2684.0208290925684,16174.466666666667
10,40,False,uniform,Random,22313.0,22313.0
10,40,False,uniform,CoupColl,17893.666666666668,17893.666666666668
10,40,False,uniform,RatioColl,14037.533333333333,14037.533333333333
10,40,False,uniform,EpsilonGreedy,15661.166666666666,15661.166666666666
10,40,False,uniform,UCB,19600.366666666665,19600.366666666665
10,40,False,random,Random,11482.682071773552,15656.566666666668
10,40,False,random,CoupColl,4451.413224459063,22730.633333333335
10,40,False,random,RatioColl,3181.1752448388947,17995.033333333333
10,40,False,random,EpsilonGreedy,6124.636093180679,17454.3
10,40,False,random,UCB,4628.122908242294,19571.233333333334
10,40,False,skewed,Random,119614.23155022209,24061.766666666666
10,40,False,skewed,CoupColl,3276.600817855158,33824.9
10,40,False,skewed,RatioColl,2614.1471721914854,30545.2
10,40,False,skewed,EpsilonGreedy,23436.042510920877,25241.733333333334
10,40,False,skewed,UCB,4807.622143168565,29292.433333333334
10,50,True,uniform,Random,14937.066666666668,14937.066666666668
10,50,True,uniform,CoupColl,19402.333333333332,19402.333333333332
10,50,True,uniform,RatioColl,13275.633333333333,13275.633333333333
10,50,True,uniform,EpsilonGreedy,15039.0,15039.0
10,50,True,uniform,UCB,13878.866666666667,13878.866666666667
10,50,True,random,Random,9951.861233131103,16941.2
